119736,FL,CLAY COUNTY,498960,498960,498960,498960
448094,FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3,1322376.3
206893,FL,CLAY COUNTY,190724.4,190724.4,190724.4,190724.4
333743,FL,CLAY COUNTY,0,79520.76,0,0
172534,FL,CLAY COUNTY,0,254281.5,0,254281.5
785275,FL,CLAY COUNTY,0,515035.62,0,0
995932,FL,CLAY COUNTY,0,19260000,0,0
223488,FL,CLAY COUNTY,328500,328500,328500
433512,FL,CLAY COUNTY,315000,315000,315000
142071,FL,CLAY COUNTY,705600,705600,705600
253816,FL,CLAY COUNTY,831498.3,831498.3,831498.3,831498.3
894922,FL,CLAY COUNTY,0,24059.09,0,0
422834,FL,CLAY COUNTY,0,48115.94,0,0
582721,FL,CLAY COUNTY,0,28869.12,0,0
842700,FL,CLAY COUNTY,0,56135.64,0,0
874333,FL,CLAY COUNTY,0,48115.94,0,0
580146,FL,CLAY COUNTY,0,48115.94,0,0
456149,FL,CLAY COUNTY,0,80192.49,0,0
767862,FL,CLAY COUNTY,0,48115.94,0,0
353022,FL,CLAY COUNTY,0,60946.79,0,0
367814,FL,CLAY COUNTY,0,28869.12,0,0
671392,FL,CLAY COUNTY,0,13410000,0,0
772887,FL,CLAY COUNTY,0,1669113.93,0,0
983122,FL,CLAY COUNTY,0,179562.23,0,0
934215,FL,CLAY COUNTY,0,177744.16,0,0
385951,FL,CLAY COUNTY,0,17757.58,0,0
716332,FL,CLAY COUNTY,0,130129.87,0,0
751262,FL,CLAY COUNTY,0,42854.77,0,0
633663,FL,CLAY COUNTY,0,785.58,0,0
105851,FL,CLAY COUNTY,0,170361.91,0,0
710400,FL,CLAY COUNTY,0,1430.89,0,0
703001,FL,CLAY COUNTY,0,129913.27,0,0
352792,FL,CLAY COUNTY,0,366285.62,0,0
717603,FL,CLAY COUNTY,0,22512.61,0,0
937659,FL,SUWANNEE COUNTY,0,9246.6,0,9246.6
294022,FL,SUWANNEE COUNTY,0,96164.64,0,0
410500,FL,SUWANNEE COUNTY,0,11095.92,0,0
524433,FL,SUWANNEE COUNTY,218475,218475,218475,218475
779298,FL,SUWANNEE COUNTY,1400904,1400904,1400904
491831,FL,SUWANNEE COUNTY,4365,4365,4365,4365
814637,FL,SUWANNEE COUNTY,4365,4365,4365,4365
737515,FL,SUWANNEE COUNTY,39789,39789,39789
222653,FL,SUWANNEE COUNTY,24867,24867,24867
788543,FL,SUWANNEE COUNTY,213876,213876,213876
691681,FL,SUWANNEE COUNTY,69435,69435,69435,69435
368807,FL,SUWANNEE COUNTY,14922,14922,14922
174002,FL,SUWANNEE COUNTY,165546,165546,165546
198760,FL,SUWANNEE COUNTY,72837,72837,72837
831395,FL,SUWANNEE COUNTY,72837,72837,72837
305698,FL,SUWANNEE COUNTY,19440,19440,19440,19440
515722,FL,SUWANNEE COUNTY,9945,9945,9945,9945
415582,FL,SUWANNEE COUNTY,0,255878.61,0,0
783533,FL,SUWANNEE COUNTY,0,153527.17,0,0
640802,FL,SUWANNEE COUNTY,0,255878.61,0,0
403866,FL,SUWANNEE COUNTY,0,102351.45,0,0
828788,FL,SUWANNEE COUNTY,0,155489.66,0,0
751490,FL,SUWANNEE COUNTY,0,137233.8,0,0
972562,FL,SUWANNEE COUNTY,0,123596.05,0,0
367541,FL,SUWANNEE COUNTY,0,107111.11,0,0
481360,FL,SUWANNEE COUNTY,0,96309.32,0
920232,FL,NASSAU COUNTY,0,104031.7,0,0
727659,FL,NASSAU COUNTY,338944.5,338944.5,338944.5,338944.5
471817,FL,NASSAU COUNTY,272349,272349,272349
983043,FL,NASSAU COUNTY,129690,129690,129690
578286,FL,NASSAU COUNTY,123210,123210,123210
347276,FL,NASSAU COUNTY,0,3698.64,0,0
